id;start_date;end_date;language
1;2025-05-28T14:29:14;2025-05-28T13:36:41;ENGLISH
2;2025-05-29T00:14:19;2025-05-29T05:43:04;SPANISH
3;2025-05-28T18:26:46;2025-05-28T14:06:24;SPANISH
4;2025-05-28T17:53:36;2025-05-28T09:38:28;ENGLISH
5;2025-05-29T07:36:59;2025-05-28T19:41:35;FRENCH
6;2025-05-29T06:05:52;2025-05-29T07:19:57;FRENCH
7;2025-05-28T08:07:21;2025-05-28T11:37:52;FRENCH
8;2025-05-29T04:52:05;2025-05-28T14:04:28;FRENCH
9;2025-05-29T03:53:31;2025-05-28T08:04:41;ENGLISH
10;2025-05-28T23:28:03;2025-05-28T16:03:13;SPANISH
