id;street_address;postal_code;city;state_province
1;swiftly;slipper shinny snarling;Lake Estevan;machine pant anti
2;bracelet twine plan;settle;Greeley;kissingly below however
3;meanwhile blissfully;eek;Douglasland;doubter qua creator
4;uh-huh who eek;linseed;Carmelport;demobilise
5;rag once gosh;modulo quietly;Windlerport;astride
6;pharmacopoeia psst;pleasure;Amaliafurt;ick
7;source inquisitively;antagonize;Fishers;nor joyfully spice
8;amidst swath;trash;Hortensestad;legislature now where
9;outside phooey royal;by rarely underneath;South Marianneside;yippee even
10;tabulate sailor;rusty about sadly;Fort Malliehaven;what for
